id,name,geoid,geoname,value,datetime
10024,PBF_total,,,27253.3,2019-07-21T00:00:00+02:00
10024,PBF_total,,,26056.7,2019-07-21T01:00:00+02:00
10024,PBF_total,,,24812.3,2019-07-21T02:00:00+02:00
10024,PBF_total,,,23842.3,2019-07-21T03:00:00+02:00
10024,PBF_total,,,23365.2,2019-07-21T04:00:00+02:00
10024,PBF_total,,,22948.4,2019-07-21T05:00:00+02:00
10024,PBF_total,,,22515.3,2019-07-21T06:00:00+02:00
10024,PBF_total,,,21849.5,2019-07-21T07:00:00+02:00
10024,PBF_total,,,23327.6,2019-07-21T08:00:00+02:00
10024,PBF_total,,,25475.6,2019-07-21T09:00:00+02:00
10024,PBF_total,,,27630.2,2019-07-21T10:00:00+02:00
10024,PBF_total,,,28805.4,2019-07-21T11:00:00+02:00
10024,PBF_total,,,29339.5,2019-07-21T12:00:00+02:00
10024,PBF_total,,,29615.1,2019-07-21T13:00:00+02:00
10024,PBF_total,,,29646.1,2019-07-21T14:00:00+02:00
10024,PBF_total,,,29531.1,2019-07-21T15:00:00+02:00
10024,PBF_total,,,29728.3,2019-07-21T16:00:00+02:00
10024,PBF_total,,,29380.1,2019-07-21T17:00:00+02:00
10024,PBF_total,,,28885.3,2019-07-21T18:00:00+02:00
10024,PBF_total,,,28760.5,2019-07-21T19:00:00+02:00
10024,PBF_total,,,28768.2,2019-07-21T20:00:00+02:00
10024,PBF_total,,,29299.8,2019-07-21T21:00:00+02:00
10024,PBF_total,,,29753.1,2019-07-21T22:00:00+02:00
10024,PBF_total,,,29220.1,2019-07-21T23:00:00+02:00
10024,PBF_total,,,27544.2,2019-07-22T00:00:00+02:00
10024,PBF_total,,,25930.6,2019-07-22T01:00:00+02:00
10024,PBF_total,,,24761.4,2019-07-22T02:00:00+02:00
10024,PBF_total,,,24136.4,2019-07-22T03:00:00+02:00
10024,PBF_total,,,23467.9,2019-07-22T04:00:00+02:00
10024,PBF_total,,,23683,2019-07-22T05:00:00+02:00
10024,PBF_total,,,25621.3,2019-07-22T06:00:00+02:00
10024,PBF_total,,,27929.9,2019-07-22T07:00:00+02:00
10024,PBF_total,,,29759.3,2019-07-22T08:00:00+02:00
10024,PBF_total,,,31450,2019-07-22T09:00:00+02:00
10024,PBF_total,,,33930,2019-07-22T10:00:00+02:00
10024,PBF_total,,,35637.2,2019-07-22T11:00:00+02:00
10024,PBF_total,,,36919.9,2019-07-22T12:00:00+02:00
10024,PBF_total,,,37608.8,2019-07-22T13:00:00+02:00
10024,PBF_total,,,38045.5,2019-07-22T14:00:00+02:00
10024,PBF_total,,,37826.5,2019-07-22T15:00:00+02:00
10024,PBF_total,,,37155.1,2019-07-22T16:00:00+02:00
10024,PBF_total,,,36637.9,2019-07-22T17:00:00+02:00
10024,PBF_total,,,36217.8,2019-07-22T18:00:00+02:00
10024,PBF_total,,,35531.4,2019-07-22T19:00:00+02:00
10024,PBF_total,,,35509.6,2019-07-22T20:00:00+02:00
10024,PBF_total,,,34119.9,2019-07-22T21:00:00+02:00
10024,PBF_total,,,33316.5,2019-07-22T22:00:00+02:00
10024,PBF_total,,,31427.2,2019-07-22T23:00:00+02:00
370,SolarPV,,,100,2019-07-21T08:00:00+02:00
